city,state,price,year,manufacturer,make,condition,cylinders,fuel,odometer,title_status,transmission,vin,drive,size,type,paint_color,lat,long
prescott,Arizona,16895,2012.0,subaru,legacy,excellent,6 cylinders,gas,44329.0,clean,automatic,4S3BMDH63C2008390,4wd,mid-size,sedan,blue,34.597229999999996,-112.3173
siouxcity,Iowa,10500,1994.0,,geo tracker,good,4 cylinders,gas,51000.0,clean,manual,,4wd,compact,SUV,black,43.1451,-95.1457
allentown,Pennsylvania,1800,2002.0,pontiac,aztek,,,gas,150.0,clean,automatic,,,,SUV,,40.652521,-75.467712
norfolk,Virginia,3900,2007.0,,2007 Homemade,good,,gas,,clean,automatic,,,,,silver,37.058,-76.4607
westernmass,Massachusetts,1500,2000.0,honda,civic,,4 cylinders,gas,,clean,automatic,,,,,,42.1487,-72.6079
corpuschristi,Texas,12401,2010.0,toyota,highlander,,6 cylinders,gas,165660.0,clean,automatic,5TDDK3EH3AS033522,4wd,mid-size,SUV,grey,27.7061,-97.3537
binghamton,New York,1200,1999.0,,Saab 93,excellent,4 cylinders,gas,103000.0,clean,manual,,fwd,,,,42.0556,-76.1519
grandrapids,Michigan,19900,2017.0,dodge,grand caravan,,,gas,52791.0,clean,automatic,2C4RDGEG5HR773266,,,other,,42.879329999999996,-85.66386
elpaso,Texas,11000,2014.0,bmw,x5 xdrive35i,,,gas,22000.0,clean,automatic,,4wd,full-size,SUV,black,31.8383,-106.5364
kpr,Washington,25999,2014.0,ram,1500 sport 4x4 1/4 ton,,,gas,79066.0,clean,automatic,1C6RR7MT6ES404496,4wd,,truck,white,46.234838,-119.12801499999999
frederick,Pennsylvania,4900,2007.0,toyota,camry,good,4 cylinders,gas,148000.0,clean,automatic,,fwd,,sedan,grey,40.0514,-77.5195
wheeling,Ohio,1000,2002.0,honda,crv,fair,4 cylinders,gas,169393.0,clean,automatic,,4wd,mid-size,SUV,red,40.369757,-80.626545
cosprings,Colorado,6500,1954.0,chevrolet,bel air,,,gas,,clean,manual,,,,,,38.769182,-104.792576
southbend,Michigan,16888,2011.0,chevrolet,silverado 1500,good,8 cylinders,gas,144184.0,clean,automatic,3GCPKTE3XBG280067,4wd,full-size,truck,black,42.912954,-85.680286
mohave,Arizona,1600,1995.0,ford,,,,gas,,clean,automatic,,,,,,35.339774,-114.13970900000001
pensacola,Florida,13894,2017.0,toyota,corolla,,,gas,50205.0,clean,automatic,2T1BURHE8HC903239,fwd,,,white,30.495994,-87.264331
gainesville,Florida,9000,1985.0,chevrolet,c/k 10 series,,,other,1.0,clean,automatic,1GCDC14HXFS141864,,,other,red,29.21145,-82.14393000000001
akroncanton,Ohio,5500,2005.0,chevrolet,colorado,good,5 cylinders,gas,,clean,automatic,,4wd,mid-size,pickup,black,40.885723,-81.4334
muncie,Indiana,7999,2006.0,lexus,is 350,good,6 cylinders,gas,149808.0,clean,automatic,,rwd,,sedan,,40.1836,-85.49600000000001
salem,Oregon,21500,2013.0,ford,f-150 stx,excellent,8 cylinders,gas,53500.0,clean,automatic,1FTFX1EF3DFB53659,4wd,full-size,pickup,grey,44.906687,-123.336725
springfield,Missouri,5800,2010.0,chevrolet,malibu,like new,,gas,,clean,automatic,,,,,,37.2117,-93.29899999999999
greensboro,North Carolina,3699,2002.0,chevrolet,trailblazer ls 4wd che,,,gas,173913.0,clean,automatic,1GNDT13S922184574,,,,,36.144,-80.2376
grandrapids,Michigan,16875,2012.0,chevrolet,corvette,excellent,,gas,115187.0,clean,automatic,1G1YE3DWXC5101096,rwd,,,white,42.913579,-85.754871
orangecounty,California,3700,2003.0,chevrolet,1500 tahoe,good,8 cylinders,gas,160289.0,clean,automatic,,rwd,mid-size,,grey,34.0553,-117.7523
indianapolis,Indiana,4200,2004.0,ford,mustang,excellent,,gas,,clean,automatic,,rwd,,coupe,white,39.6126,-84.9089
raleigh,North Carolina,1700,2002.0,,isuzu rodeo 4x4,,,gas,,clean,automatic,,,,SUV,,35.7299,-78.7735
nmi,Michigan,7995,2009.0,cadillac,cts,good,6 cylinders,gas,141173.0,clean,automatic,1G6DS57V590165035,4wd,mid-size,sedan,purple,43.1824,-84.1122
charleston,Georgia,13500,2013.0,volkswagen,jetta sportwagen 2.0l,good,,diesel,74756.0,clean,automatic,3VWPL7AJXDM604855,fwd,,wagon,white,33.779214,-84.411811
madison,Wisconsin,14995,2007.0,bmw,335i,,,gas,31496.0,clean,manual,WBAWL735X7PX42650,rwd,,convertible,black,43.0631,-89.3133
lancaster,Pennsylvania,15500,2013.0,ford,mustang v6 premium coupe 2d,good,,gas,41142.0,clean,other,1ZVBP8AM6D5220222,rwd,,coupe,,40.033190000000005,-76.24058000000001
daytona,Florida,5650,1940.0,,1940CRYSLER NEW YORKER,,8 cylinders,gas,,clean,automatic,,,,,,29.218378,-81.027045
tuscaloosa,Alabama,1000,2006.0,acura,tsx,,,gas,,clean,automatic,,,,,,33.1969,-87.5627
chicago,Illinois,8895,2007.0,acura,mdx,excellent,6 cylinders,gas,,clean,automatic,,4wd,,,black,41.9463,-87.8061
seattle,Washington,8988,1997.0,ford,f-250,excellent,,gas,,clean,automatic,1FTHX25G1VEA04889,rwd,full-size,truck,brown,47.0129,-122.8763
brownsville,Texas,1000,2005.0,dodge,caravan,,,gas,,clean,automatic,,,,,,25.950376000000002,-97.32169300000001
tampa,Florida,1400,2005.0,mercedes-benz,c230 kompressor,,,gas,,clean,automatic,,,,,,28.5065,-82.6267
eauclaire,Wisconsin,15500,2010.0,cadillac,escalade ext,excellent,8 cylinders,gas,,clean,automatic,,4wd,full-size,truck,white,44.8718,-91.9265
modesto,California,47249,2018.0,ford,f250 super duty,,,diesel,12.0,clean,automatic,,,,,,37.7741,-120.8377
reno,California,6999,2007.0,bmw,3 series,excellent,6 cylinders,gas,79000.0,clean,automatic,WBAVA335X7KX79673,rwd,,sedan,grey,38.614952,-121.271667
corpuschristi,Texas,15950,2007.0,gmc,yukon xl,excellent,8 cylinders,gas,130217.0,clean,automatic,,4wd,,SUV,,27.713649,-97.444009
denver,Colorado,1150,1997.0,ford,aspire,good,4 cylinders,gas,212.0,clean,manual,,fwd,,,,38.5259,-105.9978
bakersfield,California,3900,1966.0,lincoln,continental,fair,8 cylinders,gas,,clean,automatic,,rwd,full-size,coupe,grey,35.3396,-119.0218
phoenix,Arizona,8500,2009.0,rover,sport hse,,,gas,,rebuilt,automatic,,,,,,33.4347,-112.2774
york,Pennsylvania,3995,2004.0,mitsubishi,outlander - ls awd,excellent,4 cylinders,gas,150958.0,clean,automatic,JA4LZ31F74U061135,4wd,mid-size,wagon,blue,39.970698,-76.705788
waterloo,Iowa,5600,2005.0,volkswagen,golf tdi,good,4 cylinders,diesel,112500.0,clean,automatic,,fwd,compact,hatchback,blue,42.3905,-92.4549
victoria,FAILED,4500,2007.0,honda,civic,good,4 cylinders,gas,213000.0,clean,automatic,,fwd,compact,sedan,brown,48.511032,-123.51686799999999
santafe,New Mexico,8900,1965.0,mercedes,"benz, unimog 404",good,6 cylinders,other,28071.0,clean,manual,404114038519,4wd,full-size,truck,green,36.3953,-105.5847
hamilton,FAILED,4000,2004.0,chevrolet,1500 avalanche,good,8 cylinders,gas,245000.0,clean,automatic,,4wd,full-size,truck,grey,43.497694,-79.900896
winchester,Virginia,4500,1923.0,,1923 T-Bucket,,,gas,,clean,manual,,,,,,38.7,-77.5483
carbondale,Illinois,11000,2015.0,kia,rio,good,4 cylinders,gas,,clean,automatic,,fwd,,,grey,37.7257,-88.9294
eugene,Oregon,27875,2008.0,chevrolet,silverado 3500 hd cre,,,diesel,134247.0,clean,automatic,1GCJK33698F148530,4wd,,truck,,45.425821,-122.633035
tucson,Arizona,4550,2007.0,toyota,highlander,good,6 cylinders,gas,161000.0,salvage,automatic,,,,,silver,32.0839,-110.9004
providence,Rhode Island,2500,1997.0,honda,civic hx,,,gas,,clean,automatic,,,,,,41.8206,-71.4443
utica,New York,3000,2008.0,ford,fusion se,good,4 cylinders,gas,142000.0,clean,automatic,,fwd,,,white,43.360633,-75.603104
columbus,Ohio,23888,2012.0,gmc,savana 3500,excellent,8 cylinders,gas,100707.0,clean,automatic,,rwd,,truck,white,39.921296000000005,-83.482618
sanantonio,Texas,2800,2009.0,nissan,altima 2.5 4dr sedan,good,4 cylinders,gas,,clean,automatic,,,,sedan,white,29.542642999999998,-98.341713
jackson,Mississippi,30000,2015.0,bmw,3 series 335i,excellent,6 cylinders,gas,25000.0,lien,automatic,,rwd,full-size,sedan,black,32.421303,-90.100753
eastnc,North Carolina,2200,1978.0,datsun,620,,,gas,,clean,manual,,,,,,34.5426,-77.4038
austin,Texas,11500,2002.0,chevrolet,camaro ss,,,gas,68000.0,clean,manual,,,,,,26.2154,-98.2359
norfolk,Maryland,3500,1952.0,buick,,,,gas,77777.0,clean,manual,,,,,,38.3365,-75.0849
monroemi,Michigan,9995,2012.0,chevrolet,traverse,,6 cylinders,gas,107405.0,clean,automatic,1GNKRGEDXCJ207598,fwd,,SUV,,43.186723,-84.163862
scranton,Pennsylvania,7000,2003.0,chevrolet,avalanche,,,gas,,lien,automatic,,,,,,41.0115,-76.4384
tippecanoe,Indiana,5000,1995.0,mercedes-benz,c36 amg,,,gas,168000.0,clean,automatic,,,,,,40.444,-86.9237
ventura,California,4500,2006.0,honda,civic hybrid,like new,4 cylinders,hybrid,,clean,automatic,,fwd,compact,sedan,blue,34.170078000000004,-118.60148600000001
holland,Michigan,8660,2010.0,,onda CR-V,good,,gas,,clean,automatic,5J6RE4H32AL000803,4wd,,,white,42.829113,-86.205423
tampa,Florida,5000,2010.0,ford,ranger,good,4 cylinders,gas,,clean,automatic,,,,pickup,white,27.7015,-82.3151
binghamton,New York,1200,1999.0,chevy,2500,,,gas,,clean,automatic,,,,truck,,42.1463,-75.8865
lakeland,Florida,6999,2017.0,mitsubishi,mirage g4,excellent,other,gas,31358.0,clean,automatic,ML32F3FJ9HHF07054,fwd,,sedan,,28.059185999999997,-81.79298
memphis,Tennessee,28788,2016.0,ford,f-150,,6 cylinders,gas,36403.0,clean,automatic,1FTEW1CP5GKE90727,rwd,,,black,35.074290000000005,-89.875349
mankato,Minnesota,6250,2003.0,chevrolet,1500 avalanche,excellent,,gas,160000.0,clean,automatic,,4wd,,,,43.699751,-93.721533
montgomery,Alabama,10897,2008.0,ford,explorer sport trac,good,6 cylinders,gas,120718.0,clean,automatic,1FMEU31E88UB04192,rwd,full-size,truck,grey,32.427868,-86.467649
orlando,Florida,13500,2013.0,nissan,armada sv,excellent,8 cylinders,gas,139432.0,clean,automatic,,4wd,full-size,SUV,silver,28.606689000000003,-81.410685
imperial,California,24999,2014.0,mercedes-benz,e 350 coupe*back u,,6 cylinders,gas,43499.0,clean,automatic,,rwd,,coupe,white,32.736973,-117.1757
wyoming,Colorado,9000,2007.0,ford,e-450,good,8 cylinders,diesel,199876.0,clean,automatic,1FDXE45PX7DA35611,,,bus,black,39.9245,-105.0609
westslope,Colorado,25995,2018.0,toyota,rav4,good,4 cylinders,gas,15352.0,clean,automatic,2T3RFREV2JW699370,4wd,compact,SUV,white,38.717906,-108.054869
kalamazoo,Michigan,5000,2012.0,ford,focus se,,4 cylinders,gas,118000.0,clean,automatic,,,,,white,42.3842,-85.9568
dallas,Texas,6495,2011.0,cadillac,sts,,,gas,105.0,clean,automatic,,,,,,32.8958,-96.8588
siouxfalls,South Dakota,4000,1995.0,chevy,g30,excellent,6 cylinders,diesel,,clean,automatic,1gbhg31y8sf227994,rwd,full-size,van,blue,43.5514,-96.7375
victoria,FAILED,4890,2013.0,,Smart fortwo,excellent,,gas,53000.0,clean,automatic,WMEEJ3BA3DK629175,rwd,,coupe,,49.114008,-122.680204
fargo,Minnesota,3500,1990.0,ford,f150,excellent,8 cylinders,gas,101000.0,clean,automatic,,4wd,,pickup,,46.0781,-95.8214
raleigh,North Carolina,2800,2006.0,honda,civic,,,gas,,clean,automatic,,,,,,35.852596000000005,-78.536837
treasure,Florida,19788,2014.0,toyota,tundra,excellent,8 cylinders,gas,118141.0,clean,automatic,5TFRM5F10EX075482,rwd,full-size,pickup,white,27.5885,-80.3923
delaware,Delaware,8300,2008.0,nissan,titan,good,8 cylinders,gas,,clean,automatic,,,,,,38.949488,-75.586012
vancouver,FAILED,8000,2007.0,bmw,525xi,excellent,6 cylinders,gas,205566.0,clean,automatic,WBANF33567CS41290,4wd,mid-size,sedan,grey,49.207505,-122.786078
annapolis,Delaware,2800,2007.0,dodge,caravan,,,gas,,clean,automatic,,,,,,39.5929,-75.6515
whistler,FAILED,4800,2006.0,ford,ranger,excellent,,gas,250000.0,clean,automatic,1FTYR44U56PA63382,rwd,mid-size,pickup,,49.281338,-123.063868
watertown,New York,13990,2008.0,ram,1500,excellent,8 cylinders,gas,116551.0,clean,automatic,1D7HU18248J145556,4wd,full-size,pickup,silver,43.154934999999995,-75.93209300000001
appleton,Wisconsin,7199,2007.0,mercury,grand marquis,excellent,8 cylinders,gas,51650.0,clean,automatic,2MEFM74V17X615079,rwd,full-size,sedan,,44.52039,-88.06645
duluth,Wisconsin,9995,2006.0,chevrolet,silverado,good,8 cylinders,gas,178000.0,clean,automatic,,4wd,full-size,,blue,46.348711,-90.22851999999999
knoxville,Tennessee,8999,2013.0,ford,fusion se,,,gas,106744.0,clean,automatic,,,,,,35.861936,-83.670588
macon,Georgia,2700,2008.0,ford,focus se,good,4 cylinders,gas,195000.0,clean,automatic,,,,,blue,33.4768,-84.055
kamloops,FAILED,17995,2014.0,honda,civic touring,,,gas,77047.0,clean,automatic,,,,,,49.205749,-123.12755200000001
carbondale,Missouri,1500,1990.0,chevrolet,1500,,,gas,,clean,automatic,,,,,,36.846892,-89.682513
kamloops,FAILED,29990,2014.0,ram,1500 rt,excellent,8 cylinders,gas,52000.0,rebuilt,automatic,,rwd,full-size,pickup,red,49.204516,-122.92635600000001
akroncanton,Ohio,1995,2000.0,bmw,528i,,6 cylinders,gas,219000.0,clean,automatic,WBADP6344YBV65072,rwd,,,black,41.104918,-81.15498199999999
savannah,Georgia,16,2000.0,,Wrangler,,,gas,,clean,automatic,,,,,,31.8068,-81.4371
smd,Maryland,2600,1975.0,,OLDS/Buick,,,gas,,clean,other,,,,,,39.0095,-76.9846
eastnc,North Carolina,1200,1991.0,acura,integra,,,gas,,clean,manual,,,,,,34.7253,-76.7531
dayton,Ohio,19500,1987.0,chevy,elcamino,excellent,8 cylinders,gas,,clean,automatic,,rwd,mid-size,,black,39.973712,-84.330283
maine,New Hampshire,23995,2011.0,toyota,sequoia limited 4wd,excellent,8 cylinders,gas,99000.0,clean,automatic,,4wd,,SUV,silver,43.4603,-71.5774
lancaster,Pennsylvania,10995,2007.0,ford,f150 lariat,,8 cylinders,gas,144000.0,clean,automatic,,4wd,,,,40.1553,-76.6025
fortwayne,Indiana,34500,2015.0,ford,super duty f-350 srw,good,8 cylinders,gas,89350.0,clean,automatic,1FT8W3BT6FED54921,4wd,full-size,truck,white,41.641514,-85.276461
hartford,Connecticut,1500,1995.0,pontiac,bonneville se,good,6 cylinders,gas,170000.0,clean,automatic,,fwd,full-size,sedan,brown,41.9661,-72.2899
madison,Wisconsin,11980,2015.0,chevrolet,cruze,excellent,,gas,32555.0,clean,automatic,,fwd,,sedan,,43.110257,-89.641673
swks,Oklahoma,3800,2004.0,jeep,liberty awd sport,good,6 cylinders,gas,240000.0,clean,automatic,1J4GL48K24W294310,4wd,,,blue,36.9558,-101.0594
grandrapids,Michigan,3950,2007.0,lincoln,mkz,good,6 cylinders,gas,174000.0,clean,automatic,3LNHM26T37R650936,fwd,,sedan,black,42.972522999999995,-85.824745
topeka,Missouri,34995,2015.0,chevrolet,suburban,,8 cylinders,gas,98145.0,clean,automatic,1GNSKKKC9FR155535,4wd,,SUV,grey,38.6419,-94.3285
cleveland,Ohio,2000,2001.0,,oldsmobile aurora,,,gas,,clean,automatic,,,,,,41.4342,-81.8044
gulfport,Alabama,11599,2016.0,kia,soul,good,4 cylinders,gas,71305.0,clean,automatic,KNDJP3A59G7345069,fwd,,,black,30.665776,-88.105149
orlando,Florida,2750,1998.0,chevrolet,express g2500,,,gas,286359.0,clean,automatic,,rwd,,,white,28.6214,-81.4294
stcloud,Minnesota,2000,2006.0,hyundai,santa fe awd,excellent,6 cylinders,gas,,clean,other,,,,SUV,white,45.3877,-94.0452
sd,Minnesota,49000,2015.0,chevrolet,1500 silverado,excellent,8 cylinders,gas,,clean,automatic,,4wd,full-size,pickup,red,46.9319,-94.846
neworleans,Louisiana,4000,1988.0,chevrolet,1500 silverado,,,gas,,clean,automatic,,,,,,30.8577,-90.1155
missoula,Washington,14250,2006.0,ford,f250 lariat 4x4,excellent,8 cylinders,diesel,180000.0,clean,automatic,,4wd,full-size,pickup,black,46.156000000000006,-119.264
sfbay,California,9999,2007.0,infiniti,g35 sedan,excellent,6 cylinders,gas,81500.0,clean,automatic,,rwd,full-size,sedan,grey,37.2458,-121.8306
fresno,California,1900,1999.0,toyota,,,,gas,,clean,automatic,,,,,,36.8149,-119.7106
santabarbara,California,2700,2000.0,lexus,es300,good,6 cylinders,gas,,clean,automatic,,,compact,,white,34.4418,-119.7647
bellingham,Washington,15900,1930.0,ford,model a,excellent,4 cylinders,gas,,clean,manual,,rwd,,,black,48.744403999999996,-122.444601
losangeles,California,8995,2013.0,honda,oddysey,like new,,gas,136000.0,clean,automatic,,,,,,34.0493,-118.2917
littlerock,Missouri,24468,2014.0,cadillac,srx,,,gas,56284.0,clean,automatic,,,,,,38.4018,-93.785
fayar,Arkansas,21041,2016.0,honda,hr-v,,4 cylinders,gas,43775.0,clean,automatic,3CZRU6H71GM737936,,,SUV,red,36.10861,-94.178762
columbusga,Georgia,1200,2005.0,honda,accord lx,salvage,6 cylinders,gas,140000.0,missing,automatic,,fwd,,sedan,black,32.4245,-84.9481
altoona,Pennsylvania,15000,2012.0,subaru,sti,good,4 cylinders,gas,50000.0,clean,manual,,4wd,compact,sedan,black,40.4411,-75.3507
peoria,Illinois,2450,2004.0,,2004 pt cruiser,good,4 cylinders,gas,150000.0,clean,automatic,,,,,purple,40.6731,-89.5514
indianapolis,Indiana,4900,2011.0,chevy,malibu lt,good,4 cylinders,gas,125000.0,clean,automatic,1G1ZC5E15BF379826,fwd,mid-size,sedan,blue,39.6789,-86.1302
northmiss,Mississippi,16500,2015.0,chrysler,,,,gas,69750.0,clean,automatic,,,,mini-van,white,33.9871,-88.8988
philadelphia,Pennsylvania,3400,2003.0,lexus,es 300,,,gas,124000.0,clean,automatic,,,,,,40.1284,-75.0607
easternshore,Maryland,12000,2000.0,ford,f250,good,8 cylinders,diesel,,clean,manual,,4wd,,,,38.3755,-75.4076
cosprings,Colorado,27900,2013.0,dodge,durango,,,gas,52794.0,clean,automatic,1C4SDJET7DC682935,,,SUV,black,39.620464,-104.989098
philadelphia,Pennsylvania,13495,2015.0,hyundai,sonata se,good,,gas,70251.0,clean,automatic,5NPE24AF6FH008545,fwd,,sedan,silver,40.107952000000004,-75.31781099999999
medford,Oregon,16,2005.0,ford,f450 4x4,excellent,8 cylinders,diesel,192130.0,salvage,automatic,,4wd,full-size,,,42.4638,-123.3457
bemidji,Minnesota,800,2002.0,chevrolet,cavalier,fair,,other,156500.0,clean,other,,fwd,,,silver,47.585442,-94.784203
buffalo,New York,10500,2004.0,ford,f350 super duty,good,8 cylinders,diesel,100000.0,clean,automatic,,4wd,full-size,pickup,blue,42.971444,-78.639584
columbus,Ohio,12336,2017.0,ford,escape,good,4 cylinders,gas,85995.0,clean,automatic,1FMCU0GD6HUA53389,fwd,full-size,SUV,white,39.9648,-83.126
siouxfalls,South Dakota,2800,2004.0,audi,a4 1.8t quattro,,,gas,,clean,manual,,,,,,43.5486,-96.6332
rapidcity,South Dakota,1200,1982.0,mazda,b2200,,,diesel,,clean,manual,,,,,,43.5374,-96.6864
okaloosa,Florida,5300,2008.0,chevrolet,malibu lt,excellent,4 cylinders,gas,128000.0,clean,automatic,,,,,white,30.5092,-86.5009
salem,Oregon,8495,2007.0,subaru,legacy outback,excellent,4 cylinders,gas,99051.0,clean,manual,4S4BP61C676325710,,mid-size,wagon,blue,45.518031,-122.57875200000001
bozeman,Montana,22900,2013.0,chevrolet,,excellent,8 cylinders,gas,108000.0,clean,automatic,,4wd,full-size,truck,silver,45.663307,-110.560119
flint,Michigan,2200,2006.0,chevrolet,impala,good,,gas,123000.0,clean,automatic,,,,sedan,,42.975734,-83.74225600000001
spokane,Idaho,2860,1997.0,ford,explorer xlt,fair,,gas,215889.0,clean,automatic,,4wd,,,blue,47.6928,-116.785
killeen,Texas,3991,2004.0,toyota,sienna,,,gas,242051.0,clean,automatic,5TDZA23C84S065834,,,van,silver,30.2063,-97.7956
winstonsalem,North Carolina,5200,2002.0,volkswagen,337,like new,,gas,,clean,manual,,,,,,36.295,-80.35600000000001
scranton,Pennsylvania,900,1975.0,ford,f-150,,8 cylinders,gas,,clean,manual,,4wd,full-size,pickup,blue,41.3066,-76.1339
providence,Rhode Island,2900,2000.0,chevrolet,astro van,,,gas,,clean,automatic,,,,,,41.7845,-71.3959
maine,Maine,12995,2007.0,gmc,1500 yukon denali,excellent,8 cylinders,gas,142000.0,clean,automatic,,4wd,full-size,SUV,blue,43.9608,-70.2974
pueblo,Colorado,12999,2011.0,ford,f-350 super duty,,,gas,190670.0,clean,automatic,1FT8X3B63BEB81084,4wd,,truck,,40.159884999999996,-105.103035
fortmyers,Florida,3300,2004.0,ford,mustang,excellent,6 cylinders,gas,102000.0,clean,automatic,,rwd,mid-size,convertible,black,26.6466,-81.8429
spokane,Idaho,13860,2015.0,chevrolet,cruze lt,excellent,4 cylinders,gas,40006.0,clean,automatic,,fwd,,,silver,47.7248,-116.789
appleton,Wisconsin,19995,2015.0,acura,tlx,excellent,,gas,45345.0,clean,automatic,19UUB2F51FA017839,fwd,,sedan,,44.227376,-88.424054
lancaster,Pennsylvania,12000,2008.0,ford,e150,excellent,8 cylinders,gas,24000.0,lien,automatic,,rwd,full-size,van,white,39.769418,-76.34690400000001
muskegon,Michigan,1200,1998.0,,Z71 clean interior,,,diesel,,clean,other,,,,,,43.9688,-86.4403
miami,Florida,12800,2015.0,honda,civic coupe,like new,4 cylinders,gas,,clean,automatic,,fwd,,coupe,silver,26.5312,-80.1418
wenatchee,Washington,1000,1970.0,volkswagen,beatle,,,gas,,clean,manual,,,,,grey,47.490583,-120.167746
wichita,Kansas,14500,2014.0,ram,1500 big horn,good,8 cylinders,gas,147000.0,lien,automatic,1C6RR7GT6ES359734,4wd,full-size,truck,red,37.691102,-97.3761
southjersey,New Jersey,4999,2004.0,toyota,rav 4,,,gas,,clean,automatic,,,,,,40.897,-74.1573
corpuschristi,Texas,8928,2010.0,nissan,rogue,,4 cylinders,gas,64940.0,clean,automatic,JN8AS5MT1AW023953,fwd,compact,SUV,custom,27.656582,-97.481814
tricities,Tennessee,8995,2010.0,honda,accord,,4 cylinders,gas,103355.0,clean,automatic,1HGCP2F30AA094190,fwd,,,silver,36.16,-83.4129
louisville,Kentucky,15995,2008.0,ford,f-250 sd,excellent,8 cylinders,diesel,148154.0,clean,automatic,1FTSX21R18EB71299,4wd,full-size,truck,green,38.159627,-85.69770799999999
lexington,Kentucky,5000,2008.0,chrysler,300,,,gas,,clean,automatic,,,,,,38.0102,-84.4274
whistler,FAILED,7900,2012.0,,smart fortwo 2dr cpe pure,good,3 cylinders,gas,77044.0,clean,automatic,WMEEJ3BA5CK568149,rwd,,,,49.060584999999996,-122.381825
tampa,Florida,4300,2005.0,ford,five hundred se,,6 cylinders,gas,46117.0,clean,automatic,,fwd,mid-size,sedan,red,27.916628999999997,-82.78275699999999
harrisburg,Pennsylvania,4500,2010.0,audi,a5 2.0t premium plus,good,,gas,93000.0,salvage,automatic,,,,,,39.9026,-76.6081
bgky,Kentucky,7886,2006.0,jeep,commander,,8 cylinders,gas,186747.0,clean,automatic,1J8HG58236C298495,4wd,,SUV,,37.017671,-85.931116
greenville,South Carolina,1750,2000.0,mercedes,benz e320,good,,gas,,clean,automatic,,,,,,34.7807,-82.3035
florencesc,South Carolina,21250,2013.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,111000.0,clean,automatic,,4wd,,,,34.163232,-79.839035
kootenays,FAILED,31600,2015.0,lexus,is 250,,6 cylinders,gas,29900.0,clean,automatic,JTHCF1D25F5019120,4wd,,sedan,grey,49.04553,-122.277718
saginaw,Michigan,14692,2010.0,ford,f-150 xlt,,,gas,104357.0,clean,automatic,1FTEW1E80AFB50181,4wd,,pickup,black,42.6159,-83.9248
york,Pennsylvania,11000,1966.0,ford,galaxie,,,gas,,clean,manual,,,,coupe,,40.1222,-76.7737
atlanta,Georgia,14800,2015.0,kia,sorento,,,gas,,clean,automatic,,,,,,34.077,-84.3033
wenatchee,Washington,16999,,toyota,corolla,,4 cylinders,gas,21681.0,clean,automatic,2T1BURHE8FC280220,fwd,,sedan,blue,48.398813,-119.541288
fredericksburg,Virginia,37900,2018.0,ford,f150,,,gas,19584.0,clean,automatic,,,,truck,,38.328143,-77.7319
batonrouge,Louisiana,3495,2005.0,pontiac,grand prix,good,6 cylinders,gas,,clean,automatic,2G2WS542251143688,,full-size,sedan,grey,30.4668,-91.0156
kamloops,FAILED,24387,2018.0,nissan,altima sv,like new,4 cylinders,gas,23650.0,clean,automatic,,fwd,,sedan,black,49.234133,-122.861002
roanoke,Virginia,10500,2006.0,subaru,impreza wrx,good,4 cylinders,gas,93000.0,lien,manual,JF1GD79646G516192,4wd,mid-size,sedan,grey,37.2677,-79.9247
scranton,Pennsylvania,1800,2004.0,chrysler,pt cruiser,good,4 cylinders,gas,,clean,automatic,,fwd,,hatchback,red,41.2436,-75.885
charleston,South Carolina,6495,2010.0,chevrolet,impala,excellent,,gas,67070.0,clean,automatic,,,,,,32.8929,-80.0458
rapidcity,South Dakota,13999,2013.0,ford,edge limited,excellent,6 cylinders,gas,111626.0,clean,automatic,,4wd,,SUV,,44.482696000000004,-103.848699
buffalo,New York,26995,2016.0,toyota,tacoma,,,gas,52062.0,clean,automatic,3TMCZ5AN4GM024688,4wd,,pickup,,42.863917,-78.75439300000001
chillicothe,Ohio,2000,2012.0,volkswagen,good tires#@@,,,gas,,clean,automatic,,,,,,39.338,-82.9895
newhaven,Connecticut,1800,2004.0,chrysler,pt cruiser gt,like new,4 cylinders,gas,165900.0,clean,automatic,,fwd,mid-size,hatchback,grey,41.3293,-72.9664
frederick,Maryland,500,2009.0,,Craftsman,,,gas,,clean,automatic,,,,,,39.383348,-77.147251
westernmass,Massachusetts,1800,1997.0,honda,civic,fair,4 cylinders,gas,,clean,manual,,fwd,compact,sedan,white,42.158186,-72.554913
whistler,FAILED,14999,2010.0,honda,cr-v,like new,,gas,142507.0,clean,automatic,5J6RE4H55AL806247,,,,,49.188382,-123.136168
daytona,Florida,4100,2002.0,buick,lesabre 4dr sdn custom,excellent,6 cylinders,gas,62000.0,clean,automatic,,fwd,mid-size,sedan,brown,29.065922999999998,-81.062965
norfolk,Virginia,500,2000.0,toyota,camry le,good,4 cylinders,gas,157000.0,clean,automatic,JT2BG22K7Y0414833,fwd,mid-size,sedan,grey,36.8586,-76.2686
yubasutter,California,25999,2008.0,chevrolet,corvette,,,gas,36864.0,clean,automatic,1G1YY25W685124818,,,coupe,red,38.605011,-121.401917
newlondon,Connecticut,6900,2012.0,ford,focus,,,gas,80349.0,clean,automatic,1FAHP3H24CL374450,,compact,sedan,silver,41.197651,-73.20814
kootenays,FAILED,16985,2016.0,dodge,grand caravan se/sxt,like new,6 cylinders,gas,,clean,automatic,2C4RDGBG3GR367716,,,,,49.27812,-122.817578
